account,classification,trades,total_notional,avg_pnl,win_rate
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Fear,100,1507100.86,1247.69221441,0.37
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Greed,945,11415855.67,-42.62681048042328,0.06666666666666667
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1778,30262439.89,626.1943461839145,0.5264341957255343
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,574,8686990.84,482.08932088327526,0.1602787456445993
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,421,9824876.71,298.4563342992874,0.5819477434679335
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Fear,170,366532.65,-24.91266500588235,0.3
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Greed,825,1523508.3,43.22290295151516,0.576969696969697
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,2622,2573742.54,-0.6326227311212814,0.4782608695652174
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,2943,6487032.05,10.211823158681618,0.4016309887869521
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,720,1084672.12,-16.573722395833332,0.3611111111111111
0x271b280974205ca63b716753467d5a371de622ab,Extreme Fear,797,4886973.24,20.96221444416562,0.37641154328732745
0x271b280974205ca63b716753467d5a371de622ab,Extreme Greed,5,159708.30000000002,358.63204299999995,0.8
0x271b280974205ca63b716753467d5a371de622ab,Fear,1868,13491850.52,16.125219748394002,0.3822269807280514
0x271b280974205ca63b716753467d5a371de622ab,Greed,540,10486688.13,-185.22186365555558,0.24444444444444444
0x271b280974205ca63b716753467d5a371de622ab,Neutral,599,4848220.23,-31.78354016861436,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Fear,574,463208.61,-44.71430711498258,0.2874564459930314
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Greed,7481,3277267.08,14.437904109611015,0.4444592968854431
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,1399,917809.07,9.59437087848463,0.4303073624017155
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,2970,1489279.85,10.50255621919192,0.4484848484848485
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Neutral,887,609457.49,6.207158245772266,0.46674182638105977
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Fear,112,277460.02999999997,101.92185524107143,0.6875
